city,locality,bhk,bathrooms,area_sqft,price_inr
Thane,Rukmini Garden,2,2.0,692.0,3100000.0
Thane,Pride Residency,3,2.0,879.0,15600000.0
Thane,Cosmos Springs,1,1.0,410.0,4850000.0
Thane,Joy Square,1,1.0,400.0,4700000.0
Thane,Unknown,2,2.0,640.0,8500000.0
Thane,Hiranandani Rodas Enclave,6,6.0,2024.0,52000000.0
Thane,One Hiranandani Park,2,2.0,630.0,18000000.0
Thane,Unknown,2,2.0,750.0,12500000.0
Thane,Unknown,2,2.0,1024.0,3000000.0
Thane,Unknown,1,1.0,375.0,2700000.0
Thane,Unknown,1,2.0,435.0,6300000.0
Thane,Vijay Vilas,2,2.0,650.0,8400000.0
Thane,Shree Swami Kripa,1,1.0,450.0,7500000.0
Thane,Manex Height,2,1.0,511.0,3900000.0
Thane,Unknown,1,1.0,387.0,1700000.0
Thane,Unknown,1,2.0,585.0,3990000.0
Thane,Samrin Heritage,2,2.0,702.0,15400000.0
Thane,Rosa Elite,1,1.0,440.0,4500000.0
Thane,Unknown,2,2.0,663.0,9500000.0
Thane,Lodha Amara,1,2.0,453.0,8200000.0
Thane,Unknown,1,1.0,415.0,1500000.0
Thane,Unknown,1,1.0,475.0,3000000.0
Thane,Siddhi City,1,1.0,500.0,2500000.0
Thane,Bhoomi Acres,1,1.0,330.0,4700000.0
Thane,Green Acres Phase 2,2,2.0,650.0,8500000.0
Thane,Tata Amantra,3,2.0,1332.0,10500000.0
Thane,Hiranandani Estate Chelsea,3,3.0,1011.0,19000000.0
Thane,Unknown,2,2.0,800.0,4500000.0
Thane,Kalpataru Hills,1,2.0,650.0,7000000.0
Thane,Regency Sarvam Phase 2,1,1.0,500.0,3250000.0
Thane,Acura,2,2.0,650.0,11000000.0
Thane,Unknown,1,1.0,465.0,4200000.0
Thane,Kalpataru Hills,1,2.0,700.0,7000000.0
Thane,Hiranandani Meadows,3,3.0,1190.0,30000000.0
Thane,Shashwat Park 2,1,1.0,420.0,2400000.0
Thane,Giriraj Dreams,2,2.0,790.0,21100000.0
Thane,Royale City,1,1.0,615.0,2000000.0
Thane,Unknown,1,1.0,450.0,3600000.0
Thane,Lodha Luxuria,3,3.0,1090.0,19500000.0
Thane,Sukur Residency,1,1.0,400.0,5000000.0
Thane,Unknown,1,1.0,400.0,2700000.0
Thane,Mahavir Kalpavruksha,1,1.0,438.0,6300000.0
Thane,Wadhwa Solitaire,2,2.0,833.0,15500000.0
Thane,Sawlaram Srushti Residency,3,3.0,900.0,10000000.0
Thane,Swastik Alps,2,2.0,1050.0,12000000.0
Thane,Swastik Alps,2,2.0,1135.0,12000000.0
Thane,Swastik Alps,2,2.0,1100.0,12000000.0
Thane,Swastik Alps,2,2.0,1165.0,13000000.0
Thane,Auralis The Twins,3,3.0,1300.0,30000000.0
Thane,Unknown,1,2.0,518.0,11000000.0
Thane,Unknown,2,2.0,735.0,2800000.0
Thane,Unknown,2,1.0,720.0,14500000.0
Thane,Unknown,1,1.0,665.0,5000000.0
Thane,Acura,2,2.0,640.0,10900000.0
Thane,Unknown,2,2.0,1060.0,9000000.0
Thane,Kalpataru Hills,1,2.0,600.0,7000000.0
Thane,Lodha Regency,1,2.0,385.0,3000000.0
Thane,Marathon Nexworld,1,2.0,384.0,2810000.0
Thane,Unknown,1,1.0,548.0,4800000.0
